Wandb run started
Optimizers Created
Dataloader reset
Beginning Training
====================================================================================================
Model Parameters: 32.1M
{'d_model': 256, 'n_heads': 8, 'n_layers': 8, 'vocab_size': 50304, 'seq_len': 128, 'r': 4, 'p': 2, 'max_steps': 1000000, 'batch_size': 32, 'adam_lr': 0.0003, 'muon_lr': 0.0003}
====================================================================================================
step 0 | loss 10.8259 | norm 5544.9121 | time 2262.8658ms
step 10 | loss 10.6996 | norm 1022.6341 | time 1884.1045ms
step 20 | loss 10.5470 | norm 356020.5938 | time 1883.0535ms
step 30 | loss 10.3498 | norm 189119.5625 | time 2317.5676ms
step 40 | loss 10.2693 | norm 31746766.0000 | time 1897.7997ms
step 50 | loss 10.0553 | norm 105556.5469 | time 1897.9516ms
step 60 | loss 10.0537 | norm 963167.1875 | time 1903.5614ms
step 70 | loss 9.7551 | norm 1417082112.0000 | time 1900.0747ms
step 80 | loss 9.7170 | norm 24949.3574 | time 1903.4960ms
step 90 | loss 9.6025 | norm 11121500.0000 | time 1902.3836ms
step 100 | loss 9.6656 | norm 491.8832 | time 1903.0678ms
step 110 | loss 9.2052 | norm 1126887.5000 | time 1906.5642ms
step 120 | loss 9.3707 | norm 39057184.0000 | time 1896.9231ms
step 130 | loss 9.1381 | norm 229935.2344 | time 1978.7452ms
step 140 | loss 8.9679 | norm 11782.5703 | time 1977.9844ms
step 150 | loss 9.2152 | norm 65899.1172 | time 1903.6350ms
step 160 | loss 9.1142 | norm 6339.6895 | time 1903.6267ms
step 170 | loss 9.0438 | norm 699547.1875 | time 1903.1296ms
step 180 | loss 9.0640 | norm 1550.9000 | time 1899.9975ms
step 190 | loss 8.8567 | norm 578956.1875 | time 1902.4489ms
step 200 | loss 8.9670 | norm 70227.3047 | time 1901.5081ms
step 210 | loss 8.7746 | norm 538883.9375 | time 1898.9179ms
step 220 | loss 8.5326 | norm 1003.2167 | time 1902.5342ms
step 230 | loss 8.8615 | norm 9814.0957 | time 1897.0883ms
step 240 | loss 8.3951 | norm 85.2444 | time 1896.3659ms
step 250 | loss 8.3583 | norm 3244.9963 | time 1918.5369ms
step 260 | loss 8.6118 | norm 19504.6855 | time 1896.9786ms
step 270 | loss 8.4748 | norm 53501.9414 | time 1898.1192ms
step 280 | loss 8.8882 | norm 52953.5859 | time 1902.3302ms
step 290 | loss 8.4255 | norm 157.0801 | time 1898.9146ms
step 300 | loss 8.3182 | norm 7717.0132 | time 1898.4020ms
step 310 | loss 8.3133 | norm 9.3928 | time 1901.5505ms
step 320 | loss 8.3389 | norm 55000.7148 | time 1899.2555ms
step 330 | loss 8.2367 | norm 73536.1797 | time 1898.6449ms
step 340 | loss 8.4716 | norm 680.2722 | time 1971.9884ms
step 350 | loss 8.2299 | norm 195838.9219 | time 1898.8419ms
step 360 | loss 8.2167 | norm 38.8807 | time 1918.3080ms
step 370 | loss 7.6494 | norm 382.7108 | time 1900.6324ms
step 380 | loss 7.9868 | norm 160766.0312 | time 1899.1749ms
step 390 | loss 8.0049 | norm 24.1186 | time 1897.3815ms
step 400 | loss 8.4986 | norm 427.0073 | time 1899.2779ms
step 410 | loss 8.0155 | norm 13.5191 | time 1897.8918ms
step 420 | loss 7.8997 | norm 9.2042 | time 1897.7797ms
step 430 | loss 8.0382 | norm 116.0631 | time 1900.6841ms
step 440 | loss 8.1698 | norm 8.9717 | time 1897.3110ms
step 450 | loss 7.7508 | norm 192.1915 | time 1905.0794ms
